nwl1;nwl2;nwl3;nwl4;fprd1;fprd2;fprd3;fprd4;pstr1;pstr3;astrw;g2;ny;vcrf;v2;t
1906.82;2030.15;2005.83;1982.56;2683.77;3009;8826.1;9766.66;4.46974;2.31353;1.14311;-0.263083;-1.59533;247.638;-3.12177;0
1914.42;2026.6;2005.83;1978.41;4046.93;3335.88;8250.99;9176.26;4.06397;2.35686;1.25627;-0.0967677;-1.59533;247.638;-2.74475;0.01
1909.67;2031.33;2008.01;1978.41;3368.82;2406.25;8047.23;7627.03;3.99114;2.85514;1.12695;-0.0848881;-1.30076;247.726;0.208565;0.02
1909.67;2031.33;2008.01;1985.68;3250.59;2722.69;7960.14;8167.09;4.39691;2.54101;1.38558;-0.179925;-1.36874;247.726;-0.639728;0.03
1915.37;2031.33;2010.2;1984.64;5160.86;3647.68;7238.78;8425.67;3.8975;2.77932;1.16736;-0.0730084;-1.22145;247.815;-2.27348;0.04
1913.47;2038.41;2010.2;1982.56;4288.03;3027.54;6957.8;7119.02;4.55298;3.52675;1.15928;-0.108647;-0.881558;247.903;-0.199872;0.05
1912.52;2036.05;2010.2;1986.72;3812.78;4052.23;7133.62;7160.21;4.92754;2.74682;1.1027;-0.274962;-1.36874;247.992;0.994022;0.06
1913.47;2036.05;2014.57;1984.64;5077.41;4479.95;7541.13;8208.28;4.22004;2.56267;1.13503;-0.227444;-1.30076;248.169;-2.33632;0.07
1912.52;2038.41;2012.38;1983.6;4742.42;3850.54;7511.55;7718.58;4.14721;2.76849;1.02188;-0.227444;-1.22145;248.257;-1.111;0.08
1910.62;2037.23;2010.2;1988.8;3884.64;3927.04;7914.13;8302.11;4.68824;2.2377;0.997631;-0.298722;-1.51603;248.346;0.177147;0.09
1917.27;2041.95;2012.38;1983.6;4800.37;4645.7;8379.15;9979.47;4.17842;2.42185;1.16736;-0.239323;-1.66331;248.523;-2.3049;0.1
1916.32;2043.13;2012.38;1984.64;4210.36;3331.24;8497.46;9654.53;4.01195;2.87681;1.03804;-0.239323;-1.08549;248.611;-1.48802;0.11
1914.42;2039.59;2011.29;1990.88;3366.51;3202.57;8725.86;9771.24;4.3553;2.45435;1.02188;-0.263083;-1.59533;248.7;-4.3785;0.12
1918.22;2045.49;2014.57;1984.64;4503.63;4134.52;9057.78;10231.2;4.25125;2.43268;1.04613;-0.168046;-1.79927;248.788;0.585585;0.13
1918.22;2044.31;2015.66;1987.76;4110.68;3398.47;8926.33;9789.54;3.98074;2.67099;0.981467;-0.132407;-0.881558;248.877;-1.04817;0.14
1914.42;2038.41;2012.38;1991.92;2993.26;2836.29;8548.4;9199.14;4.31368;2.44352;1.20777;-0.179925;-1.30076;248.965;0.994022;0.15
1915.37;2046.67;2015.66;1988.8;3135.84;3051.89;8249.34;9132.78;4.17842;2.43268;1.3775;-0.156166;-1.44805;249.054;-0.60831;0.16
1922.02;2046.67;2015.66;1988.8;4131.55;3436.72;7948.64;8224.3;4.04316;2.48685;1.04613;-0.144286;-0.654963;249.142;-1.92788;0.17
1916.32;2040.77;2015.66;1995.04;2723.17;3288.36;8094.88;8537.81;4.44894;2.21604;0.965302;-0.215564;-0.949537;249.319;-1.92788;0.18
1918.22;2050.21;2018.94;1991.92;3623.84;3854.01;7685.73;8782.66;4.43853;2.12938;1.2886;-0.203684;-1.36874;249.408;0.177147;0.19
