t;nwl1;nwl2;nwl3;nwl4;fprd1;fprd2;fprd3;fprd4;pstr1;pstr3;astrw;g2;ny;vcrf;v2
0.0;1915.7855642415525;2037.3131779054538;2012.252181698073;1986.830224711069;3730.898365289023;3290.5174838571243;7998.211028329687;8456.287289379043;3.8321825203138125;2.6745059084793175;1.151046953288287;-0.15346412731221284;-1.3414353213026229;247.77853222727816;-1.0987224021484403
0.01;1915.842189937193;2037.572429981691;2012.3180088646025;1986.9005281922575;3796.8982404648373;3319.7497659857;7860.679988779501;8393.427450435496;3.8226554605024954;2.6638175767680923;1.1475196909987386;-0.15384864080439814;-1.3432531290127014;247.81108498279377;-1.0972071170404403
0.02;1915.8990440132914;2037.8362589981732;2012.3846029772706;1986.9716508228723;3826.8948032511594;3347.9754520997153;7786.911073948844;8351.274908022144;3.8130796798916395;2.6530805044155885;1.1439502866262063;-0.15423548446942634;-1.3450785114601684;247.84770916002566;-1.0956898503591663
0.03;1915.9560931158821;2038.1042736939798;2012.4519745814607;1987.043604232339;3807.8833791403104;3374.474407834078;7800.7938141447285;8338.262465480946;3.8034630968535574;2.6423078586768263;1.140345107259332;-0.15462442506406943;-1.3469031511163756;247.8860656024122;-1.0941707160394833
0.04;1916.0137248716583;2038.3818587756214;2012.520050048203;1987.1163055987417;3802.008266296807;3409.1439325194715;7788.649608893562;8314.595925350852;3.7937136474322757;2.631347338674922;1.1366221822001925;-0.15501820708386319;-1.3488291323059534;247.93976730565393;-1.0926484272857415
0.05;1916.0718285207236;2038.6675859767013;2012.588856444608;1987.1897849943412;3790.5298221349494;3449.3400704541077;7784.6536353095125;8292.161088670517;3.7838576794312915;2.620242618829359;1.1328038961304048;-0.15541604882186497;-1.3508280119945961;248.00689827643328;-1.0911233569466217
0.06;1916.192782803143;2038.9914404726233;2012.7178610070862;1987.3145647262052;3785.859540822554;3483.2705914483295;7791.9157185218355;8292.090199541357;3.7764904124501606;2.612878392388552;1.1307920302458934;-0.15571791511487687;-1.3513228814527167;248.08107033692986;-1.0896312491255695
0.07;1916.3830525715591;2039.3571877745385;2012.9131800387333;1987.4958395655792;3795.4350104323053;3510.959165045418;7799.432496596442;8312.55356372466;3.7718685219501147;2.6096372750033656;1.1307723852396259;-0.15591382310962223;-1.3501634812021297;248.1642472372607;-1.0881756396560305
0.08;1916.6134038194862;2039.7498672600468;2013.1470409577146;1987.7100201420744;3798.3844378489857;3533.4450722138745;7833.21813449336;8353.213957248672;3.7687975921938217;2.6087344271707447;1.1318712682543697;-0.15604997988623062;-1.348067210406391;248.25870452304;-1.0867400874105828
0.09;1916.9020213939841;2040.178438806284;2013.4367692261935;1987.9718259015738;3799.423681045459;3547.4166680470116;7892.119828301677;8419.472452058293;3.76803085279478;2.6112969311313887;1.1346396441286422;-0.1560973286834434;-1.3445782115419684;248.36391488721088;-1.0853349684696836
0.1;1917.2133120692413;2040.6271550336528;2013.7483310288662;1988.2523386267444;3801.121826464569;3517.2976263047967;7956.683215683847;8493.058913211316;3.768061235427976;2.6150654810199896;1.137968646508817;-0.1561137694819842;-1.3406240767906636;248.46294067093183;-1.0839395256829156
0.11;1917.5460739617279;2041.0954783913166;2014.0805890994782;1988.5505932955666;3800.915601031711;3409.4730839439853;8031.045290488749;8574.994341174799;3.7688396992659237;2.6199668679475003;1.1418216418498903;-0.1561012027365746;-1.3362347814359379;248.55446687420644;-1.0825530873483151
0.12;1917.9347801382219;2041.599587844863;2014.4664478737916;1988.8945472219666;3801.4402876164754;3392.516901745439;8124.581040919565;8679.586944107812;3.771809699814264;2.6281630243599405;1.1472571422319002;-0.1560040593703685;-1.3305296739414376;248.6464954223092;-1.0811955378884734
0.13;1918.3731377136821;2042.1368334439528;2014.8998881086152;1989.2790864373708;3802.443384179493;3454.4691011687996;8235.10035437275;8804.011172813998;3.7767034056363245;2.6392523063966973;1.1540772549085216;-0.15583262143050133;-1.3236746419385501;248.734320720136;-1.079863190975705
0.14;1918.81629592784;2042.683910386345;2015.3383204419497;1989.6680368384264;3803.055366765747;3463.0977092084677;8282.455457372733;8857.232388618522;3.781693916859714;2.650505455512727;1.1609472063422854;-0.15565760425604236;-1.3167639234658215;248.8330883713751;-1.0785308975056531
0.15;1919.2656717102927;2043.2414258017043;2015.7831132415295;1990.062562523759;3803.664630231278;3443.749092442007;8259.969720637313;8832.332544266957;3.786843408100906;2.6620160377751425;1.1679122182597814;-0.15547663808426138;-1.309758910025408;248.94385951335173;-1.0771995177731903
0.16;1919.7396691302804;2043.8194221976848;2016.251717420118;1990.477485640872;3804.280727293868;3473.701807689766;8204.69661739712;8770.83954139673;3.7928939110122464;2.674891643778609;1.1755123129650211;-0.1552609465048188;-1.3022192435847526;249.05506780777318;-1.0758792698896698
0.17;1920.2281099963816;2044.41261514868;2016.7344764222412;1990.9046051833552;3804.870434313747;3537.6937588758647;8094.04114893215;8647.395693173326;3.799432068434805;2.6885149680243265;1.1834450458747845;-0.15502654124227888;-1.2943923999832854;249.1701633657613;-1.0745644664586749
0.18;1920.7678996816041;2045.039781231042;2017.266490302017;1991.3737380498003;3805.3114454288725;3600.8627139932173;7979.554646036946;8519.624229084195;3.807972654693216;2.7051506798568017;1.1928172498614287;-0.1547148815308397;-1.285367112908381;249.282391959873;-1.073275968415471
0.19;1921.3622638060172;2045.7026864793306;2017.8508265428873;1991.8874906842564;3805.5927709653315;3673.7765400815138;7863.751788476976;8390.334191696846;3.8186470111623723;2.724995059356574;1.2037240423613356;-0.15432088612945416;-1.2750653278953612;249.38982781092406;-1.0720155874570418
0.2;1921.9851969463166;2046.3880531610453;2018.462775367412;1992.424874935754;3805.8076145690775;3714.127863633265;7700.730785353663;8208.219038987572;3.830391646959151;2.7464587755601015;1.2153875301285022;-0.15388568955921963;-1.2641260870001323;249.49813580174265;-1.0707686841381563
