t;nwl1;nwl2;nwl3;nwl4;fprd1;fprd2;fprd3;fprd4;pstr1;pstr3;astrw;g2;ny;vcrf;v2
0.0;1951.312690246983;2067.4928639880973;2050.2742997181294;2021.275680682369;3709.873705563506;3608.510341678312;7505.007305742142;7604.214853403836;4.06169043469073;2.5692408648987923;-0.28540725244686765;-0.14048162935251887;-1.0823503585117351;252.13720056361805;0.38672877783688797
0.01;1951.4013552656638;2067.6747672145557;2050.4793228087983;2021.428242402422;3731.241072054212;3669.895140590437;7520.752210091267;7599.494562960147;4.0616959930865555;2.570905449006914;-0.28554905003778075;-0.14051288232158546;-1.0824283748894314;252.19273585409368;0.3853383486950201
0.02;1951.491471167138;2067.8603555756754;2050.688331272098;2021.5843650579093;3754.2317812675938;3710.8301686555237;7539.7161847133575;7596.839399072966;4.061671731762973;2.5725504588697454;-0.28566810400326575;-0.14054650782838066;-1.0825581075849928;252.2511131412341;0.3839459385870479
0.03;1951.583091881059;2068.0495838311704;2050.901191364065;2021.7442428845602;3778.6660639298034;3723.1105355954514;7562.139845315551;7596.879106011013;4.061613257431609;2.574172757796109;-0.28576274273593383;-0.14058293064843025;-1.082744180082646;252.30524944270726;0.3825517380682592
0.04;1951.6756968162324;2068.243454219657;2051.120035602541;2021.9059054885006;3808.6949592406763;3749.0704437446157;7585.9577989186855;7590.015237279667;4.061569207575943;2.5758069907548253;-0.28584961162995265;-0.1406174017369825;-1.0829436821595217;252.39076138610426;0.3811535967742236
0.05;1951.7694477659409;2068.4417420685973;2051.344329826779;2022.0699514147254;3843.4874247826574;3776.3609829455545;7611.863581133953;7578.568423901659;4.061525380169503;2.5774430311255347;-0.28592360233021125;-0.14065130200028783;-1.0831704122199086;252.50165112092643;0.3797521379198938
0.06;1951.9042785364993;2068.6994247124826;2051.601635511286;2022.2849928947696;3842.722677162965;3774.2334615822992;7615.38180907232;7592.77898496462;4.061816880859052;2.578964942643098;-0.2861891051590825;-0.14070125121867372;-1.0830770334953137;252.59451241631584;0.3783547939720991
0.07;1952.0842481823404;2069.022312194724;2051.8950774712002;2022.5558308032728;3802.933541758358;3743.9871656719274;7593.819980772863;7634.417478029361;4.062483554856382;2.5803645980524577;-0.28666884091073547;-0.14076843398173744;-1.0826238300414355;252.67112966429096;0.3769620904877873
0.08;1952.2908130346752;2069.384584132571;2052.2114388342925;2022.8601857818148;3742.567733566625;3690.3252636222887;7559.1636286344;7690.765402692577;4.063358588895622;2.5816889185019116;-0.2872634777083969;-0.14084606920000017;-1.0819837189191792;252.74862974715393;0.37557099776306185
0.09;1952.5355976559513;2069.802320206298;2052.558854264639;2023.212177389438;3650.18895834114;3605.2725866382452;7504.2716139546865;7770.119710741378;4.064540960414621;2.582905085169361;-0.28803289421501815;-0.14093886377953835;-1.0810549724128904;252.81733168888942;0.3741836189132592
0.1;1952.7956415698095;2070.2443673882854;2052.922142090989;2023.5835493363663;3602.928884818714;3541.1540680094226;7442.736361567504;7737.922802352567;4.0658504741458925;2.5840876226837786;-0.2888638704662815;-0.1410361789622548;-1.080027243016222;252.89857341979734;0.3727951877412685
0.11;1953.0701921434613;2070.709708389039;2053.30081240588;2023.9734122460263;3607.2237315710436;3500.1872024521977;7375.125041440986;7581.5674010511075;4.06728003490735;2.585238282894216;-0.28975206251957986;-0.14113775498781275;-1.0789087502813828;252.99392010994902;0.3714055867617793
0.12;1953.3813896469132;2071.2286976620508;2053.709964010616;2024.4088404174233;3615.9253115897254;3449.725569183116;7288.122323892039;7371.950739493366;4.06901073871298;2.5862898840673223;-0.2908089586934495;-0.14125320022235854;-1.0775117233192768;253.0850988205549;0.37001911437249724
0.13;1953.7251726713007;2071.795873350483;2054.146983799031;2024.8848303667087;3648.978902018152;3401.996138649506;7184.168500294429;7071.7866031243575;4.071011145202132;2.587255922260324;-0.29201452672015044;-0.1413805853611003;-1.0758700851666148;253.17666634641608;0.3686349047111998
0.14;1954.0731233885056;2072.3715436460207;2054.591438324216;2025.367296824582;3676.9912766464154;3417.472861438219;7124.157673252231;6925.222508014117;4.07302309990974;2.588206686811675;-0.2932158071814356;-0.14150974411409542;-1.0742500010157456;253.27042572614033;0.3672484176967895
0.15;1954.4261812911343;2072.9569827102673;2055.043950233356;2025.8574374956593;3695.3722959042143;3500.2908532159413;7112.037546788975;6955.446792976698;4.075052612828978;2.589138330245589;-0.29441672957472825;-0.14164121516377814;-1.072645879228715;253.36410357595614;0.3658598934904352
0.16;1954.7959662560445;2073.568587027903;2055.513119210914;2026.369114328972;3735.183727210626;3631.955661068479;7120.364873941687;7013.431446417629;4.077208599883976;2.5900242814667505;-0.2956807893185478;-0.14177885107368826;-1.0709471631816763;253.4597794336342;0.3644710484821316
0.17;1955.1760454413288;2074.1973768665794;2055.994328955544;2026.8946381421158;3789.6706608394093;3830.461639318787;7165.773772699354;7163.887559067154;4.079431780282679;2.5908799646588947;-0.29697290059662346;-0.14192041283617268;-1.069215566487196;253.5570865531972;0.3630808819228696
