datetime,nwl1,nwl2,nwl3,nwl4,fprd1,fprd2,fprd3,fprd4,pstr1,pstr3,astrw,g2,ny,vcrf,v2
2024-04-19T09:23:29.023,1879.15,1991.72,1967.96,1939.05,4214.96,4078.38,5893.55,5546.7,4.00478,2.34254,0.975543,-0.133163,-0.493307,243.149,0.624877
2024-04-19T09:23:29.033,1874.4,1984.64,1967.96,1947.37,4162.8,3911.46,5877.12,5757.24,3.96317,2.27755,0.741155,-0.0500053,-0.493307,243.237,-2.29702
2024-04-19T09:23:29.043,1878.2,1987,1964.68,1943.21,2846.01,3042.11,6209.04,7288.14,3.89033,2.31004,0.846226,-0.0500053,-1.00315,243.414,-1.44873
2024-04-19T09:23:29.053,1882,1994.08,1969.05,1944.25,3708.41,3716.73,6946.83,7292.73,3.94236,2.31004,0.668414,-0.145042,-0.493307,243.414,-4.37063
2024-04-19T09:23:29.063,1874.4,1988.18,1966.86,1947.37,3685.23,3207.87,7756.92,8256.12,3.90074,2.18006,0.797732,-0.0737646,-0.787881,243.591,-1.44873
2024-04-19T09:23:29.073,1880.1,1991.72,1967.96,1943.21,2912.08,2803.33,7610.68,8803.04,3.87993,2.16922,0.628003,-0.0143664,-0.935168,243.68,0.624877
2024-04-19T09:23:29.083,1882,1998.8,1967.96,1943.21,3300.39,3204.38,7494.01,7745.82,3.90074,2.11506,0.636085,-0.133163,-0.561286,243.768,1.47317
2024-04-19T09:23:29.093,1877.25,1991.72,1971.23,1949.44,3919.38,3612.4,7824.29,8308.75,3.79669,2.26671,0.522932,-0.0500053,-0.425329,243.857,0.216439
2024-04-19T09:23:29.103,1882.95,1995.26,1973.42,1947.37,2902.81,2834.62,7421.71,8990.68,3.87993,2.13673,0.741155,-0.0500053,-0.85586,243.945,-2.73688
2024-04-19T09:23:29.113,1878.2,1995.26,1972.33,1947.37,2995.54,3123.25,7296.83,7727.52,3.95276,2.27755,0.644167,-0.121283,-0.493307,244.034,0.185021
2024-04-19T09:23:29.123,1878.2,1996.44,1973.42,1952.56,3937.93,3600.81,7628.75,7729.8,3.90074,2.22338,0.692661,-0.0856442,-0.640594,244.122,1.03331
2024-04-19T09:23:29.133,1882.95,1999.98,1978.88,1948.41,3080.15,3024.72,7737.2,9359.11,3.93195,2.0609,0.846226,-0.061885,-1.1391,244.211,-0.631854
2024-04-19T09:23:29.143,1877.25,1996.44,1976.7,1949.44,2922.51,3066.45,7165.37,8349.95,3.85912,2.26671,0.628003,-0.180681,-0.640594,244.299,-1.44873
2024-04-19T09:23:29.153,1882.95,2003.52,1975.61,1953.6,3888.08,3532.42,7329.69,7484.94,4.00478,2.26671,0.724991,-0.0856442,-0.85586,244.388,0.216439
2024-04-19T09:23:29.163,1883.9,1999.98,1984.35,1951.52,3327.06,2929.68,7300.11,8427.76,3.90074,2.20172,0.595673,-0.0381257,-0.935168,244.476,1.06473
2024-04-19T09:23:29.173,1880.1,1998.8,1979.98,1951.52,2873.83,2914.6,7030.63,8160.01,3.99438,2.24505,0.724991,-0.192561,-0.719903,244.653,1.03331
2024-04-19T09:23:29.183,1889.6,2005.88,1975.61,1953.6,3383.85,3087.31,7170.3,7272.13,3.90074,2.27755,0.668414,-0.0975239,-0.787881,244.742,0.247857
2024-04-19T09:23:29.193,1884.85,1998.8,1985.44,1955.68,3307.34,2908.81,6963.26,7693.19,3.93195,2.21255,0.724991,-0.0737646,-0.935168,244.83,-1.85717
2024-04-19T09:23:29.203,1886.75,2001.16,1979.98,1954.64,2750.96,2976.04,6746.36,7642.85,3.94236,2.14756,0.741155,-0.133163,-0.85586,244.919,0.593458
2024-04-19T09:23:29.213,1895.3,2009.42,1982.16,1953.6,4517.5,4507.26,6932.04,6686.31,3.96317,2.29921,0.628003,-0.121283,-0.935168,245.007,1.03331
2024-04-19T09:23:29.223,1890.55,2007.06,1987.63,1958.8,4131.5,4137.49,6936.97,7221.78,3.87993,2.0284,0.797732,-0.0856442,-1.07113,245.096,1.91303
2024-04-19T09:23:29.233,1889.6,2004.7,1981.07,1954.64,3302.71,3880.17,6470.31,7185.18,3.93195,2.21255,0.797732,-0.180681,-1.00315,245.184,1.85019
2024-04-19T09:23:29.243,1898.15,2014.14,1982.16,1955.68,3769.85,4543.19,7083.21,6542.14,3.96317,2.01757,0.805814,-0.156922,-1.07113,245.273,-1.88859
2024-04-19T09:23:29.253,1892.45,2007.06,1989.81,1959.84,3041.9,3678.47,8305.74,8919.75,3.90074,2.18006,0.918967,-0.133163,-1.34304,245.361,1.03331
2024-04-19T09:23:29.263,1896.25,2009.42,1983.26,1957.76,2682.56,2922.72,8629.44,9922.05,3.91114,2.14756,0.902802,-0.0856442,-1.20708,245.45,-1.44873
2024-04-19T09:23:29.273,1898.15,2016.5,1984.35,1955.68,2764.86,2797.53,8271.23,8187.48,3.86953,2.23422,0.733073,-0.133163,-1.00315,245.538,-0.223417
2024-04-19T09:23:29.283,1892.45,2007.06,1988.72,1962.96,3091.75,2652.64,8567,9473.53,3.99438,2.18006,0.89472,-0.0737646,-1.00315,245.627,-0.600436
2024-04-19T09:23:29.293,1897.2,2010.6,1982.16,1960.88,2876.14,2347.78,7362.55,8949.5,3.93195,2.40753,0.910884,-0.0143664,-0.85586,245.715,-0.223417
2024-04-19T09:23:29.303,1895.3,2016.5,1987.63,1959.84,3050.02,2408.06,7132.51,6917.43,3.94236,2.44003,0.765402,-0.0737646,-0.561286,245.715,-2.29702
2024-04-19T09:23:29.313,1894.35,2011.78,1992,1968.15,4151.21,3226.41,6922.18,6576.47,3.97357,2.28838,0.684579,-0.0381257,-0.719903,245.804,-1.04029
2024-04-19T09:23:29.323,1900.05,2012.96,1985.44,1962.96,3542.66,3213.65,6412.8,6793.86,3.93195,2.20172,0.724991,-0.00248677,-0.640594,245.892,-2.29702
2024-04-19T09:23:29.333,1897.2,2020.04,1989.81,1962.96,3993.57,3366.66,6302.7,6208.04,3.99438,2.4292,0.611838,-0.133163,-0.35735,245.981,-0.631854
2024-04-19T09:23:29.343,1898.15,2016.5,1992,1970.23,4735.42,3912.62,6448.95,6571.9,4.06721,2.29921,0.61992,-0.109404,-0.561286,246.069,-1.04029
2024-04-19T09:23:29.353,1901,2018.86,1990.9,1965.04,3783.75,3741.07,6271.48,7606.23,4.00478,2.28838,0.579509,-0.133163,-0.787881,246.158,-1.48015
2024-04-19T09:23:29.363,1896.25,2020.04,1993.09,1964,3265.62,4009.98,6945.18,7832.78,3.90074,2.27755,0.482521,-0.263839,-0.85586,246.246,1.0019
2024-04-19T09:23:29.373,1898.15,2018.86,1993.09,1974.39,4043.41,4003.03,7802.93,8590.22,3.90074,2.13673,0.587591,-0.168802,-0.787881,246.423,-4.8419
2024-04-19T09:23:29.383,1901,2021.22,1992,1966.08,3172.89,2971.4,7566.3,8903.74,4.00478,2.27755,0.555262,-0.0856442,-1.34304,246.512,-2.73688
2024-04-19T09:23:29.393,1897.2,2022.4,1995.28,1968.15,3077.84,3328.41,7796.35,8519.29,3.91114,2.15839,0.660332,-0.2282,-1.07113,246.6,-0.631854
2024-04-19T09:23:29.403,1904.8,2025.95,1997.46,1977.51,4217.28,4069.1,8649.16,9576.51,3.98397,2.01757,0.51485,-0.0975239,-1.07113,246.777,-4.8419
2024-04-19T09:23:29.413,1902.9,2023.59,1998.55,1969.19,3285.33,2688.57,7906.45,9498.71,3.89033,2.27755,0.579509,-0.0500053,-1.50166,246.777,-0.191999
2024-04-19T09:23:29.423,1899.1,2021.22,1997.46,1971.27,2778.77,2695.53,7306.68,7670.31,3.93195,2.20172,0.611838,-0.145042,-0.935168,246.954,1.03331
2024-04-19T09:23:29.433,1908.6,2029.49,1996.37,1977.51,3563.52,3389.85,8312.31,8153.15,3.91114,2.25588,0.571426,-0.0856442,-0.935168,247.043,1.85019
2024-04-19T09:23:29.443,1903.85,2029.49,1999.65,1972.31,3607.56,3447.8,8333.67,9736.69,3.93195,2.15839,0.579509,-0.0856442,-1.43368,247.043,0.970478
2024-04-19T09:23:29.453,1903.85,2024.77,2000.74,1975.43,2870.34,3064.13,7446.36,7951.78,3.97357,2.14756,0.724991,-0.24008,-0.719903,247.131,2.66706
2024-04-19T09:23:29.463,1912.4,2031.85,2000.74,1979.59,3810.42,3948.55,7477.58,6988.37,4.0464,2.28838,0.700744,-0.0975239,-0.935168,247.308,0.56204
2024-04-19T09:23:29.473,1906.7,2025.95,2007.3,1975.43,4067.75,3885.96,7252.46,7979.23,3.97357,2.20172,0.644167,-0.109404,-1.34304,247.397,-0.223417
2024-04-19T09:23:29.483,1907.65,2028.31,2007.3,1976.47,3570.47,3714.41,7352.7,8594.81,4.00478,2.31004,0.724991,-0.21632,-0.85586,247.485,-1.13455
2024-04-19T09:23:29.493,1914.3,2036.57,2000.74,1982.71,4134.98,4382.07,7638.61,8322.49,3.93195,2.11506,0.692661,-0.109404,-0.85586,247.574,0.185021
2024-04-19T09:23:29.503,1910.5,2029.49,2009.48,1978.55,3497.45,3222.93,7751.98,8727.52,3.93195,2.26671,0.660332,-0.0737646,-1.27506,247.662,-0.663273
2024-04-19T09:23:29.513,1914.3,2029.49,2007.3,1978.55,2835.57,2541.36,7832.51,8585.65,3.8175,2.16922,0.539097,-0.168802,-1.07113,247.751,-0.631854
2024-04-19T09:23:29.523,1916.2,2037.75,2007.3,1980.63,2798.48,2555.27,8616.3,9468.96,3.95276,2.18006,0.579509,-0.133163,-1.1391,247.839,1.44175
2024-04-19T09:23:29.533,1909.55,2031.85,2012.76,1981.67,2944.54,2500.79,8451.98,10123.4,3.91114,2.23422,0.61992,-0.0975239,-1.43368,247.928,-1.51157
2024-04-19T09:23:29.543,1912.4,2031.85,2010.58,1979.59,2552.75,2263.17,7377.34,8329.35,3.87993,2.21255,0.628003,-0.109404,-0.935168,247.928,1.85019
2024-04-19T09:23:29.553,1920,2040.11,2008.39,1984.79,2861.07,2586.57,7229.45,7134.82,3.98397,2.27755,0.65225,-0.0975239,-0.85586,248.016,-1.92
2024-04-19T09:23:29.563,1915.25,2034.21,2017.13,1984.79,3774.48,3228.73,6751.29,7004.39,3.94236,2.32087,0.587591,-0.0975239,-1.20708,248.016,-1.92
2024-04-19T09:23:29.573,1919.05,2037.75,2014.95,1983.75,3102.18,2664.23,6094.02,6640.55,3.99438,2.3642,0.765402,-0.156922,-0.719903,248.105,0.185021
2024-04-19T09:23:29.583,1916.2,2043.65,2013.85,1986.87,3702.62,3795.55,5954.35,6343.05,4.00478,2.31004,0.595673,-0.180681,-0.85586,248.193,-0.663273
2024-04-19T09:23:29.593,1914.3,2036.57,2018.22,1986.87,4002.84,4013.47,6207.4,6958.62,3.93195,2.22338,0.708826,-0.145042,-1.50166,248.282,0.56204
2024-04-19T09:23:29.603,1920,2038.93,2017.13,1987.9,3352.56,3380.57,6366.79,7137.12,3.99438,2.27755,0.676497,-0.21632,-1.1391,248.37,0.153603
2024-04-19T09:23:29.613,1916.2,2046.01,2016.04,1987.9,3748.98,3942.76,6982.98,6857.94,3.99438,2.28838,0.65225,-0.168802,-1.1391,248.459,0.56204
2024-04-19T09:23:29.623,1916.2,2038.93,2021.5,1988.94,3641.18,3516.19,7309.97,8290.45,3.87993,2.18006,0.611838,-0.133163,-1.63761,248.547,-3.58517
2024-04-19T09:23:29.633,1920.94,2043.65,2018.22,1987.9,2985.1,2825.35,6792.37,8077.64,4.07762,2.19089,0.555262,-0.192561,-1.43368,248.636,-0.254835
2024-04-19T09:23:29.643,1919.05,2046.01,2013.85,1986.87,2689.52,3003.86,7674.76,8098.23,3.96317,2.12589,0.700744,-0.168802,-1.34304,248.724,-0.223417
2024-04-19T09:23:29.653,1920,2044.83,2023.69,1992.06,3656.25,3124.4,8322.17,9171.47,3.90074,2.12589,0.522932,-0.0856442,-1.70559,248.812,0.593458
2024-04-19T09:23:29.663,1921.89,2047.19,2020.41,1989.98,3579.74,2638.73,7073.35,7789.3,4.01519,2.26671,0.644167,-0.0975239,-1.00315,248.901,-0.254835
