nwl1,nwl2,nwl3,nwl4,fprd1,fprd2,fprd3,fprd4,pstr1,pstr3,astrw,g2,ny,vcrf,v2,t
"1943,53","2057,32","2043,6","2007,43","3553,33","3147,32","7068,07","7786,28","4,15602","2,35113","-0,302534","-0,168563","-1,02084","251,933","-2,23381",0
"1949,23","2059,68","2040,32","2015,74","3320,34","2825,08","7934,02","7241,65","4,04157","2,23198","-0,237875","-0,109164","-1,29276","252,022","1,09652","0,01"
"1943,53","2066,76","2042,51","2017,82","3328,46","3374,52","8200,22","8578,05","4,18723","2,04783","-0,326781","-0,121044","-1,36073","252,11","0,688087","0,02"
"1944,48","2058,5","2047,97","2010,55","3509,29","3914,68",7446,"8026,56","4,24966","2,06949","-0,213628","-0,168563","-1,1568","252,199","-0,537226","0,03"
"1951,13","2062,04","2043,6","2018,86","3562,61","3499,7","7748,34","6747,36","3,94793","2,22115","-0,278287","-0,121044","-0,941533","252,287","5,30657","0,04"
"1946,38","2069,12","2045,79","2021,98","3986,85","4006,25","6994,13","6841,19","4,06238","2,22115","-0,14897","-0,109164","-0,873554","252,376","1,12794","0,05"
"1946,38","2060,86","2053,44","2014,7","4494,56","4624,07","6635,91","7175,28","4,02076","2,16699","0,0692535","-0,180442","-0,737597","252,553","4,45828","0,06"
"1949,23","2065,58","2047,97","2019,9","3979,9","4318,06","7375,34","7889,25","3,95833","2,15615","-0,0519816","-0,180442","-0,646959","252,641","-2,67367","0,07"
"1947,33","2072,67","2046,88","2027,18","3846,6","4161,57","7150,23","8015,11","3,97914","2,23198","-0,165134","-0,132924","-1,29276","252,73","-1,0085","0,08"
"1948,28","2063,22","2054,53","2017,82","3505,81","3668,94","6851,16","7408,7","3,99995","2,09116","-0,140887","-0,204202","-0,941533","252,818","-2,64225","0,09"
"1951,13","2067,94","2049,06","2020,94","3282,1","2989,68","8203,51",7546,"4,02076","2,18865","-0,189381","-0,144803","-0,57898","252,907","0,279649","0,1"
"1948,28","2075,03","2051,25","2025,1","3102,42","3000,11","8024,39","9118,11","3,97914","2,28614","-0,278287","-0,0497663","-1,08882","253,084","2,79311","0,11"
"1951,13","2066,76","2055,62","2017,82","3192,84","3103,28","6749,29","7523,12","3,8855","2,09116","-0,213628","-0,180442","-0,737597","253,172","-0,160206","0,12"
