nwl1,nwl2,nwl3,nwl4,fprd1,fprd2,fprd3,fprd4,pstr1,pstr3,astrw,g2,ny,vcrf,v2
1942.68,2060.53,2041.25,2020.85,3214.31,3484.61,8428.82,9589.56,4.00509,2.09371,0.206014,-0.144975,-0.862848,252.682,-0.138615
1953.12,2068.79,2051.09,2016.69,3107.68,3311.9,9201.12,9667.36,4.31722,2.35368,0.351496,-0.109336,-0.79487,252.77,2.37485
1950.27,2068.79,2048.9,2021.89,3761.43,3547.2,7056.76,8225.69,3.77619,2.4945,0.335331,0.0332196,-0.862848,252.859,0.678261
1945.53,2065.25,2044.53,2023.97,3045.08,3167,7952.3,8793.19,4.00509,2.18037,0.303002,-0.0855768,-0.726891,252.947,-2.21222
1955.02,2071.15,2052.18,2018.77,2856.14,3213.37,9644.78,9170.78,4.2652,2.29952,0.391908,-0.109336,-0.862848,252.947,-1.36393
1952.17,2071.15,2051.09,2021.89,4076.73,4168.5,7830.7,9173.07,3.74497,2.27786,0.496978,0.02134,-0.579604,253.036,0.269823
1947.42,2068.79,2047.81,2027.09,3282.7,3337.41,7771.55,8271.45,3.97387,2.20203,0.319167,-0.0974564,-0.647583,253.213,-1.80378
1958.82,2074.69,2055.46,2020.85,3103.04,3626.02,8458.4,7685.64,4.31722,1.95289,0.618213,-0.121216,-0.647583,253.213,1.52655
1957.87,2074.69,2053.27,2022.93,4587.91,4615.93,7339.39,9042.63,3.65133,2.54867,0.593966,-0.0380582,-0.375668,253.301,1.52655
1948.37,2071.15,2050,2030.2,3843.73,4027.09,7906.29,9420.21,3.83861,2.13704,0.50506,-0.109336,-0.579604,253.478,1.49514
1960.72,2075.87,2060.92,2027.09,3242.13,3762.8,8767.32,8017.45,4.33803,2.18037,0.610131,-0.168734,-0.874178,253.478,-0.95549
1956.92,2073.51,2057.65,2023.97,3356.89,3462.58,7474.13,8234.84,3.64093,2.34285,0.561637,-0.0855768,-0.942157,253.567,-1.8352
1954.07,2075.87,2052.18,2032.28,2940.76,2884.17,8856.05,9994.59,3.797,2.14787,0.39999,-0.0974564,-0.8062,253.655,2.78329
1962.62,2078.23,2062.02,2027.09,2363.5,2602.51,9884.68,9433.95,4.32762,2.24536,0.488896,-0.0736971,-0.8062,253.744,0.678261
