t;nwl1;nwl2;nwl3;nwl4;fprd1;fprd2;fprd3;fprd4;pstr1;pstr3;astrw;g2;ny;vcrf;v2
0.0;1942.3797707387603;2053.1264844461225;2035.9123676913619;2012.336134637426;3540.268670052077;3528.2627211240588;7460.981202309152;7254.014828050698;3.6959635145604435;2.042633416142848;0.6724465321450378;-0.10000027514086007;-0.617327196694944;251.0917063681041;0.2485591726315411
0.01;1942.43934582423;2053.256480640871;2036.00869701121;2012.4193089878625;3544.620790760987;3620.2616252917296;7487.512535383129;7424.96103289518;3.6957481279924234;2.0424302535348464;0.6703761397764247;-0.10003456674734809;-0.6189199861667469;251.1488052920952;0.24742784762559283
0.02;1942.4995464464387;2053.3895136352376;2036.1064261220863;2012.5042372312614;3548.6594787480662;3686.6703733165896;7516.824051949252;7571.227107229428;3.6955101558390107;2.0422030153038584;0.6682703419077604;-0.10007058391011239;-0.6205422788301211;251.20760183272586;0.24629639593360325
0.03;1942.560375215952;2053.525736371458;2036.2056466813958;2012.5911244077674;3552.337631844993;3711.705290159984;7549.1196377827;7679.615764168421;3.6952471048469535;2.0419496772072465;0.6661351365030159;-0.10010852572003112;-0.6221959044275001;251.26088309954193;0.2451652025220683
0.04;1942.621839101345;2053.663626685991;2036.305348764815;2012.677625006677;3556.0723305153488;3717.621185439829;7582.61042269429;7825.664707990841;3.6949863012699438;2.041692142333314;0.6638912891043819;-0.10014620167158066;-0.6238627145829443;251.34503472293113;0.24402997725237263
0.05;1942.6839407046086;2053.8036513337065;2036.4058271879458;2012.7644127282017;3559.7226964866254;3679.3773039744196;7617.890622644132;7988.438941228845;3.6947197320550758;2.0414239528744327;0.6615601805724498;-0.10018425304365892;-0.625548297080676;251.45365145258762;0.24289196966870688
0.06;1942.80109715831;2054.0107834777514;2036.563593452147;2012.9200922310042;3563.4907831860087;3664.360910088402;7649.663249764921;8112.987449549529;3.6944069445493697;2.0411900254845454;0.6605073244501781;-0.1002104116632077;-0.6268397313716362;251.54673062934017;0.2417477661045737
0.07;1942.9789132591725;2054.291556818145;2036.7843532079785;2013.151460291867;3567.431963312127;3670.7483698084225;7677.229157685941;8202.313158237212;3.694046761550827;2.040997356258734;0.6608635012717843;-0.10022317469711345;-0.6276926911037916;251.6263845369066;0.24059654115700527
0.08;1943.1919587911877;2054.6159498301718;2037.0419043574059;2013.426928101091;3571.340933640914;3638.6681319451714;7703.5285913430025;8266.371077507984;3.69365232548213;2.04082028528726;0.6620048411852235;-0.10022873710437707;-0.6283043406350625;251.70776842616743;0.23944078462129273
0.09;1943.4560897222354;2055.002860478642;2037.3526823430122;2013.76641135087;3575.278386026246;3578.68356638417;7727.005730052594;8291.508849508815;3.6932125926206667;2.040672474098094;0.6643260483593215;-0.10022346481396861;-0.628554029211658;251.78212214837228;0.2382793811632181
0.1;1943.7401796495528;2055.414777483509;2037.6841175655431;2014.1300953845096;3579.2120928553604;3573.4501762422406;7750.32973877048;8323.502309086127;3.692757146428095;2.0405333538881836;0.667025528038303;-0.10021385926041428;-0.6286739566278814;251.87137719800936;0.23711326434913788
0.11;1944.0431865258902;2055.8504903303474;2038.0351378655669;2014.5166851502074;3583.1182627161947;3620.6084997829844;7773.681292928725;8362.2097000898;3.692286368767316;2.040401717274949;0.6700767572253967;-0.10020018702956235;-0.6286725244565773;251.97714659598148;0.235942555165703
0.12;1944.3952137249246;2056.3460839353547;2038.4370923216109;2014.9643316237066;3587.062677888577;3684.8220570777853;7794.3211446715495;8372.628597642779;3.6917754661720488;2.0403004587608327;0.6742412646925957;-0.10017585496471633;-0.628323043135989;252.0817142893296;0.23476574096502514
0.13;1944.790756609383;2056.8949207387473;2038.8842088441722;2015.4659618694463;3591.032284811555;3784.7981780710174;7812.748145602461;8363.298191334748;3.691229901516818;2.0402261003405053;0.6793754291610314;-0.10014199448063005;-0.6276666076320158;252.1899306774958;0.23358294583036682
0.14;1945.1908145462824;2057.4510214849065;2039.3363561018812;2015.973256506033;3581.431709374637;3852.4960073344255;7817.7030903619525;8380.629109622038;3.690668530181545;2.0401382717060548;0.6845276203803394;-0.10010821028013023;-0.6270062391304532;252.2938473717744;0.23239819620088065
0.15;1945.5966368159745;2058.015942472593;2039.7948627821345;2016.4878587778499;3556.8714876540184;3881.552667936232;7807.550870865278;8424.435706879989;3.690089465797025;2.0400372056190967;0.6897305417387236;-0.10007429760291534;-0.6263333125454654;252.39051325063215;0.23121155820423342
0.16;1946.0242081927154;2058.608446949377;2040.2761064899591;2017.0294036051619;3523.6960251991245;3817.9665691437594;7787.7719805363995;8477.82052831267;3.689486714055372;2.0399407946445667;0.695367202871985;-0.1000361812853636;-0.6255227914349311;252.48698756277486;0.2300211015772389
0.17;1946.4646844451004;2059.2181405177157;2040.7709989871234;2017.586958917377;3477.9486001932146;3634.309347886762;7754.860067886422;8552.36032576801;3.688864126761165;2.039839519877604;0.7012219164209383;-0.09999607350894882;-0.6246438455998631;252.58030552967045;0.22882780142184156
0.18;1946.9501987568563;2059.883105907571;2041.3127156650455;2018.200583659172;3427.4143226154147;3531.63735508169;7714.417259081921;8539.545998866179;3.688202976791328;2.039764026337623;0.7080853051161748;-0.0999463168089732;-0.6234493435563883;252.67066813071557;0.22762883016618016
